TrainingUpdate,CriticLoss,CriticLoss1,CriticLoss2,ActorLoss,AlphaLoss,EntropyWeight,LogAlpha,QValue
51,0.03921675682067871,0.039229828864336014,0.03920368477702141,-4.390675067901611,1.0674891471862793,0.31605175137519836,-1.1518492698669434,3.9554333686828613
52,0.021738294512033463,0.02174016274511814,0.021736426278948784,-4.3865556716918945,1.0633587837219238,0.3159797787666321,-1.152077078819275,3.9553003311157227
53,0.02980588749051094,0.029809240251779556,0.029802532866597176,-4.383739471435547,1.0604959726333618,0.3159078061580658,-1.1523048877716064,3.955202579498291
54,0.055769890546798706,0.05573780834674835,0.05580196902155876,-4.386630058288574,1.0637238025665283,0.3158358335494995,-1.152532696723938,3.954721689224243
55,0.0336148627102375,0.03359966725111008,0.03363005816936493,-4.3873090744018555,1.0650484561920166,0.3157638907432556,-1.1527605056762695,3.953933000564575
56,0.019470881670713425,0.01946694776415825,0.01947481371462345,-4.386465549468994,1.0646116733551025,0.3156919777393341,-1.152988314628601,3.953382730484009
57,0.02655574306845665,0.02656317502260208,0.026548312976956367,-4.381221771240234,1.0600295066833496,0.3156200647354126,-1.1532161235809326,3.95257568359375
58,0.03216780722141266,0.03217421472072601,0.032161399722099304,-4.383773326873779,1.062809705734253,0.3155481815338135,-1.1534439325332642,3.9522042274475098
59,0.021786212921142578,0.02179083041846752,0.021781595423817635,-4.383814334869385,1.062880039215088,0.31547629833221436,-1.1536717414855957,3.952030897140503
60,0.057441890239715576,0.05742603912949562,0.05745774134993553,-4.3870530128479,1.0665971040725708,0.31540438532829285,-1.1538996696472168,3.951408624649048
61,0.042395371943712234,0.04235140234231949,0.04243934154510498,-4.382187366485596,1.061970591545105,0.3153325617313385,-1.1541274785995483,3.9510257244110107
62,0.027057282626628876,0.027059191837906837,0.027055371552705765,-4.378249168395996,1.0586563348770142,0.31526073813438416,-1.1543552875518799,3.950258493423462
63,0.02084273472428322,0.02084765024483204,0.02083781734108925,-4.377605438232422,1.0582928657531738,0.3151889443397522,-1.1545829772949219,3.949833631515503
64,0.031199723482131958,0.031173164024949074,0.031226282939314842,-4.38279390335083,1.0636659860610962,0.31511715054512024,-1.1548107862472534,3.9495058059692383
65,0.03583775833249092,0.03582095354795456,0.03585456311702728,-4.3799872398376465,1.0615664720535278,0.31504538655281067,-1.155038595199585,3.9486544132232666
66,0.044229790568351746,0.04421885684132576,0.04424072429537773,-4.378965854644775,1.061161994934082,0.3149736225605011,-1.1552664041519165,3.9478938579559326
67,0.02738025411963463,0.027395833283662796,0.02736467681825161,-4.383598804473877,1.0662436485290527,0.31490182876586914,-1.1554943323135376,3.9473025798797607
68,0.03350095450878143,0.033456478267908096,0.03354543447494507,-4.375976085662842,1.0591723918914795,0.31483006477355957,-1.1557222604751587,3.946607828140259
69,0.028073148801922798,0.028062259778380394,0.028084037825465202,-4.376519203186035,1.0608385801315308,0.3147583305835724,-1.1559501886367798,3.945340871810913
70,0.03508170321583748,0.03507355600595474,0.035089850425720215,-4.3780927658081055,1.0636162757873535,0.3146865963935852,-1.1561781167984009,3.943993330001831
71,0.03540067374706268,0.035348404198884964,0.0354529470205307,-4.380002975463867,1.0663495063781738,0.31461483240127563,-1.1564061641693115,3.943026542663574
72,0.047841738909482956,0.04784005880355835,0.04784341901540756,-4.374349117279053,1.062162160873413,0.3145430386066437,-1.1566343307495117,3.9414162635803223
73,0.029504716396331787,0.029506836086511612,0.02950259856879711,-4.368763446807861,1.05744469165802,0.3144713342189789,-1.1568623781204224,3.9404053688049316
74,0.0328918881714344,0.03286990895867348,0.03291386738419533,-4.368101596832275,1.0577311515808105,0.3143996596336365,-1.1570903062820435,3.9393131732940674
75,0.04029680788516998,0.040267571806907654,0.04032604396343231,-4.360611915588379,1.0513670444488525,0.31432804465293884,-1.157318115234375,3.9380440711975098
76,0.018893716856837273,0.018906494602560997,0.01888093911111355,-4.3685197830200195,1.06023108959198,0.3142564594745636,-1.1575459241867065,3.9369447231292725
77,0.031244609504938126,0.031185029074549675,0.031304191797971725,-4.365154266357422,1.0580302476882935,0.31418487429618835,-1.157773733139038,3.9356372356414795
78,0.0285152867436409,0.028571097180247307,0.028459474444389343,-4.366565227508545,1.060489296913147,0.3141132593154907,-1.1580016613006592,3.934445858001709
79,0.028768040239810944,0.02875777706503868,0.028778303414583206,-4.356708526611328,1.0509765148162842,0.31404173374176025,-1.1582293510437012,3.9339582920074463
80,0.023722195997834206,0.023711107671260834,0.023733284324407578,-4.361520290374756,1.0565465688705444,0.3139702379703522,-1.1584570407867432,3.9330575466156006
81,0.04337472468614578,0.043368201702833176,0.04338124766945839,-4.368818759918213,1.0645140409469604,0.3138987421989441,-1.1586848497390747,3.9322450160980225
82,0.016943052411079407,0.0169786736369133,0.016907429322600365,-4.3597235679626465,1.055666446685791,0.313827246427536,-1.1589126586914062,3.9318549633026123
83,0.029768910259008408,0.02979506179690361,0.029742758721113205,-4.3592915534973145,1.0552138090133667,0.31375575065612793,-1.1591404676437378,3.931731700897217
84,0.01903623342514038,0.01906760223209858,0.019004864618182182,-4.361110210418701,1.056559443473816,0.31368428468704224,-1.1593682765960693,3.9320623874664307
85,0.026103779673576355,0.026078365743160248,0.02612919546663761,-4.362865447998047,1.0581145286560059,0.31361281871795654,-1.1595960855484009,3.932119607925415
86,0.027307305485010147,0.0272846482694149,0.027329960837960243,-4.352901458740234,1.04833984375,0.313541442155838,-1.1598237752914429,3.9317872524261475
87,0.050081878900527954,0.050019942224025726,0.05014381930232048,-4.355342388153076,1.0514249801635742,0.31347009539604187,-1.1600513458251953,3.931000232696533
88,0.024021398276090622,0.024039316922426224,0.02400347962975502,-4.355745315551758,1.0523589849472046,0.3133988082408905,-1.1602787971496582,3.9303269386291504
89,0.024002980440855026,0.024006346240639687,0.023999616503715515,-4.357792854309082,1.0545554161071777,0.31332749128341675,-1.1605063676834106,3.930035352706909
90,0.03651595115661621,0.03648092597723007,0.03655097633600235,-4.356975078582764,1.054186463356018,0.313256174325943,-1.160733938217163,3.929443836212158
