EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
715,-44.82397103767705,50,-48.66551493175944,59500,-5.699009418487549,-58.264681404355656,20000,0.04372571408748627,4.924043655395508,0.16487666964530945,0.04999999701976776,-4.988921165466309
716,-76.2987266543085,50,-50.26050435098781,59550,-5.053794860839844,,20000,0.04998335987329483,4.542092323303223,0.1640511006116867,0.04999999701976776,-4.606143474578857
717,-43.0375278606012,50,-50.25619859352885,59600,-3.9279849529266357,,20000,0.03526345640420914,4.793712615966797,0.16534918546676636,0.04999999701976776,-4.8590617179870605
718,-24.09203299349564,50,-50.147506781791364,59650,-4.2487688064575195,,20000,0.03367973119020462,4.806446552276611,0.1652650535106659,0.04999999701976776,-4.871710777282715
719,-38.56986434775265,50,-48.11942571886477,59700,-3.794192314147949,,20000,0.04870431870222092,4.999009609222412,0.16610319912433624,0.04999999701976776,-5.065112590789795
720,-24.803416187216715,50,-47.974270394947084,59750,-2.815075159072876,-38.771825688465576,20000,0.0664491057395935,4.413050651550293,0.1661912202835083,0.04999999701976776,-4.479241847991943
721,-44.76970119301916,50,-48.718166147230065,59800,-4.144177436828613,,20000,0.0373992957174778,4.439126491546631,0.16574518382549286,0.04999999701976776,-4.504871845245361
722,-33.21953810547265,50,-48.80900231632137,59850,-5.08724308013916,,20000,0.024286620318889618,4.422842979431152,0.1657591164112091,0.04999999701976776,-4.4886016845703125
723,-50.32764490183232,50,-48.23567538878714,59900,-4.846561431884766,,20000,0.034623607993125916,4.689737319946289,0.1654862016439438,0.04999999701976776,-4.755223751068115
724,-56.113940834636786,50,-49.77812906874557,59950,-5.097805500030518,,20000,0.041669756174087524,4.527901649475098,0.16649021208286285,0.04999999701976776,-4.594391345977783
725,-78.15054756588353,50,-51.50364578634001,60000,-5.05006742477417,-37.010460641555625,20000,0.05072731524705887,4.86846923828125,0.16642989218235016,0.04999999701976776,-4.934898376464844
726,-72.48800754557041,50,-51.706766308236624,60050,-5.802516460418701,,20000,0.030869176611304283,4.317079544067383,0.16589030623435974,0.04999999701976776,-4.382969856262207
727,-84.03769516160175,50,-53.550472247163626,60100,-5.256166934967041,,20000,0.034894686192274094,4.387526512145996,0.16585704684257507,0.04999999701976776,-4.453383922576904
728,-45.37779353402066,50,-53.57788894199765,60150,-4.047935962677002,,20000,0.05660266429185867,4.365357398986816,0.16572539508342743,0.04999999701976776,-4.431082248687744
729,-44.558491167179945,50,-52.98142117661497,60200,-5.423979759216309,,20000,0.059773579239845276,4.86911678314209,0.16593369841575623,0.04999999701976776,-4.935050010681152
730,-51.67484619686682,50,-51.708838721813855,60250,-2.9714467525482178,-25.584615004502382,20000,0.07183599472045898,4.784399509429932,0.16518862545490265,0.04999999701976776,-4.849587440490723
731,-58.46622202295962,50,-51.75829606042938,60300,-2.277902364730835,,20000,0.021177638322114944,4.781796932220459,0.16624106466770172,0.04999999701976776,-4.848038673400879
732,-37.49248602958831,50,-50.157732683448025,60350,-5.344438076019287,,20000,0.03997461125254631,4.446561336517334,0.16563376784324646,0.04999999701976776,-4.512195110321045
733,-33.644071251324355,50,-49.108899230171716,60400,-2.4585180282592773,,20000,0.026096921414136887,5.017872333526611,0.16614919900894165,0.04999999701976776,-5.084021091461182
734,-44.02276948999435,50,-49.29846470405012,60450,-4.305906772613525,,20000,0.03736312314867973,4.643030643463135,0.16537649929523468,0.04999999701976776,-4.708406448364258
735,-52.80504928721069,50,-49.69751861652681,60500,-5.3284831047058105,-40.016581456584085,20000,0.033081308007240295,4.618685245513916,0.16540256142616272,0.04999999701976776,-4.684087753295898
736,-20.456483473941752,50,-46.90540645750847,60550,-4.00969934463501,,20000,0.04895157739520073,4.614906311035156,0.1656845360994339,0.04999999701976776,-4.680590629577637
